#championsleague i am cmng to watch you...all matches in hyd #feelinghappy hope #mumbaiindians comes to hyd...catch me in #southextension	joy	anticipation	trust
#mufc wages up19% in13/14 season with #dimaria #falcao #herrera #rojo and others joining where will @manutd be without #epl top 4 and #ucl?	anticipation	fear	
#sterlings getting some great experience here. i'm sure he'll learn from it and it will help for the #ucl	joy	trust	anticipation
just watching billy ocean on @bbcone show ��� what a amazing musician!  �� music that will make me dance always��� #musiclegend	joy		awe
k now i made my lock screen the interior of a museum so when i unlock my phone it's lyk the collage painting of da grilled cheeses r da art	joy	anticipation	
kid cudi's music makes me happier than any musician out there. so much love for this amazing man	joy		
last night kicked my ass and i am feeling it today. @hanmday is a ridiculous dancer and amazing teacher. it's too bad i suck. #dance	disgust	trust	
listening to christmas music because it's in 100 days and i miss painting class with @valerie_rose24  ��	anticipation		
listening to music and painting my nails.. all alone.. i'm lame as hell�	sadness		
little painting i whipped up this morning (as you do)!  for public art exhibition next week st. stephen's green #heathercottage #painting	joy		
lmfao bye y'all i actually studied music theory in uni so dont go around calling me a fake musician @emiliorashitov	anger		contempt
looking forward to hosting the music and performing arts info session at tomorrow's summer visit day at @augustana_il.	anticipation	joy	
luke hemmings, if a painter worked for a thousand years, they could not create a work of art as beautiful as you. ps follow me @luke5sos	joy	joy	
think ima go to the movies and see transformers tomorrow. or either on sunday ! i've been craving that movie since 2011 lol	anticipation		
this is possible the worst movie ever, prime example of why trailers are better than the actual movies.	disgust		
this movie got me and daja upset . why are bitches so dumb in movies?! lmao.	anger		
i have to watch fight club for my lit/film adaptation class. finally a movie that i actually know a damn thing about.	joy		
this movie is only at the beginning and its already one if the funniest movies ive seen #22jumpstreet	joy		
this movie making me cry already. ugh, i hate emotional movies.	sadness		
#antihindubollywood to appease a certain section of the movie going audiences these film stars will stoop to any level to earn money	disgust		
this movie on netflix is going to make me cry i'm a sucker for sad movies �	anticipation		
this really great indie movie, the godfather, is now on hbogo!  watch it!  support independent, small market movies!	anticipation		
#catchingfire was sooo good.... ok im def a fan now. #edgmovies !!!! cant wait to see what happens next. #movies #hollywood #film #actors	joy		
this weekend should be nice. work then movies tomorrow and work then movie night on the golden west field saturday night. (:	joy		
#guardiansofthegalaxy great movie! nice to see a film with a sense of humor.	joy		
this white girl who was sitting beside me in the movies was crying like a mf off that movie	surprise		
#haider the movie is engrossing, gr8 acting by all and on the whole a very good viewing experience. all who like different movies, go & see	joy		
i have to watch scary movies with my hands covering my face, literally for the whole movie	fear		
#leftbehind is entertaining. tried to expand the appeal of rapture movies.  sequence and action of some scene has feel of low budget film.	surprise		
*me 5 mins in to pacific rim* wow this movie is lame af *me 5 mins later* this is the greatest fucjking film of ou r generation	disgust		
timeline is full of friends watching movies.... now i'm in the mood to watch a movie too #lotr	anticipation		
*watches one scary movie-->feels courageous and tries to watch more scary movies-->chickens out*	fear		
to movie run successful. main reason is fast screenplay & duration of the film..#vadacurry run time 122 min. perfect hit sure @dhayaalagiri	surprise		
- movie night with bae , then hopefully movies next weekend to see the purge .	anticipation		
training day is one of the best movies i've watched quality movie man	joy		
i just discovered a movie about a talking penis. i need this film in my life.	anticipation		
transformers is an absolute nightmare of a movie. some of these sci-fi movies seem to be made just for the heck of it	disgust		
2 movies and a new dress ? looks like i'm having a movie night tonight :)	anticipation		
i just scroll through movies on netflix and click on one that looks good and it always turns out to be an amazing movie!!	joy		
trying to watch a movie but i hate watching movies by myself..	disgust		
i just think non-stop is such an exciting, badass movie. it's not deep, and there are better action movies, but it's so much fun.	joy		
turning this into a day for mentally destroying movies. salo or 120 days of sodom now, and serbian film later	anticipation		
i just wanna see a trailer for an official movie and at the end they're like sike this isn't some lovey dovey bs and make it an action film	anger		
tyler perry's film temptation taught me the consequences of playing with fire. movie gets me every time	surprise		
wake up work out, go to the movies around 1/2. and keep sneaking in to other movie. leave about 7/8	anticipation		
i just want to go to the movies and see a movie i haven't seen, that's all.	anticipation		
i kinda want to see the movie annabelle even though i hate scary movies	fear		
was watching an ok movie on #kirantv. suddenly film breaks into a song. rimi tomy doing a cameo dance and song.  channel change. #kerala	surprise		
3 days to kill terrible movie. its like amber heard is always in horrible movies.	disgust		
watched lego movie today. you chaps were right. film of the year! brilliant @themattsteele @senorjones	joy		
i know a website online that i can watch any movie!! even movies in theatres �	surprise		
watched today's special. always a delight to watch movies related to food! was surprised to see madhur jaffrey in the movie.	surprise		
5 movies 3 bags of chips 7 kinds of candy and drinks ready for movie night tonight :p	joy		
